document,time
"The first scene I remember: I went hiking with Mr. Tang, Xuan Xuan, and Wang Yue - the location was probably around Beijing, over in Mentougou, the weather was good, Beijing was blue sky. We walked along the trail and heard Wang Yue say that she and Mr. Tang had broken up but still had a good relationship, I was surprised and asked Mr. Tang when this happened.
The second scene: a trip to Greece with Harry and Tong Hui. Visiting a hall with beautiful carvings and frescoes on the ceiling. I looked at the two Greek letters on the base and asked Tong Hui if they corresponded to the word ""Sea King"". After that, I saw two exhibition cases with small statues (some of them were Marvel and dc superheroes).
The first time I dreamed of traveling in Portugal, or Florence? Traveling, also to a rotunda, the lights were dim, about dusk. With Zhuxinyi.]",1.29-30 12:15AM - 7:20AM
"I went back to high school and chatted with my classmates between classes and learned that Pengsiyu's boyfriend was breaking up with her, so I used her phone to return her boyfriend's messages while she was away, and finally wondered if there was a reconciliation - I thought about getting together with her, but in the end I didn't. The scene finally shifted from the school to a shopping mall/street - the environment is a bit noisy
The first one is in a mall near the financial street, from a seemingly abandoned door to go in, do a translucent elevator, to the upper floors, and buy clothes; another is in a new Zhongguancun as a model of the place, in the second floor you can eat and Hutchinson or kebabs, and another is in a seaside amusement park or the airport, along the street there are many game halls].",1.30-31 12:40AM - 8:20AM
"I dreamed of going to Princeton University to observe an undergraduate logic class, there were only about one person in the class, at the beginning of the roll call, the professor found that I was a new student and asked me my identity, I said I was here to audit. The person sitting on my right in the class was an Asian girl wearing glasses who spoke Chinese [probably the image came from the Asian girl sitting on the left in the flywheel session a few days ago]. The rest of the audience was almost all white Americans, so I thought, ""This is really different from Columbia University, there are so few Asians here.
The next scene was a ski trip with David S and others. Most of the trails were closed, which was a bit depressing.",
"I dreamed of going to the movies with Mr. Liu and others. I asked Mr. Liu if it was on 34th Street [which movie theater we would go to in reality], and Mr. Liu said no, it was on 14th Street. When we got to the cinema we saw several cases of Coke sitting on the ground next to the ticket office, a bit like that bottle to drink, but thought better of it. At this time a police officer appeared, he pointed to the box office above the large screen said the film shown inside the propaganda film suspected of fraud, he will be watching the film after the official prosecution of it. The movie seems to tell the story of an American family, seemingly a romantic story but actually advertising their brand.
The next scene I was in New York looking at apartments, the very beginning went to the home of a female friend (unknown), her house is on the top floor of an apartment with a great view, but the apartment building is slightly old. Then came to a very old townhouse, climbed several flights of stairs to the door, but finally did not go in. Finally I came to an equity residential apartment building with good facilities and an outdoor lounge on the roof where people were playing billiards. I sat down by the elevator, looking at my swelling dick, suddenly realizing there's something i can get out of it - and finally took out a few leaves, both yellow and green. The swelling suddenly went down, and my heart breathed a sigh of relief.",
"Most of it was still very clear when I woke up in the morning, but I couldn't remember it in the afternoon. I just remembered a scene from a trip in a hot air balloon, thinking that this time I didn't have to fly up to the sky after the sunrise like the one in Turkey [in reality]. As a result, the sky was getting white and we took off only after the sun came out. I was a bit depressed. The balloon flew very fast, and at the edge of a cliff we almost thought we would crash into it, but the pilot was very skilled and we quickly rose to avoid the cliff.
There was also a scene where we attended the new year's drinking salon book club event, Ling Yun was also there, but compared to his usual slightly serious image, he was very enthusiastic when attending the event. At the beginning, we all sat at our own tables, and each group sent one person to get a book from the box at the back of the classroom. Our book was Plato's phaedo, in Chinese. We also saw a few other books, but I forget what they were called.
[About the books-think of museums; once in a dimly lit hall with lots of armor resembling ancient Egyptian and medieval. As a result, I heard that one was stolen, so everyone was evacuated out afterwards; another time was in the United States, a three-story museum with a clear glass composition, like a moma, with a lot of modern artworks inside; and another time was in a castle in a very large desert, very exotic. I wore around at the top seemed to be looking for someone. Another time, it seemed to be the met, and it seemed to be the Louvre, or maybe the British Museum, which was full of tourists, and I was weaving through the crowds, with paintings and sculptures hanging in the corridors. Another time was at a car show, which was very crowded and seemed to be with a class. A few times I nearly got lost with the crowd and finally it seemed like someone was going to get in a car and just leave.]",
"I dreamt of chatting with Kevin about how I was going to spsp and then talking about social network study. he corrected me on my understanding of a concept. Then I wanted to continue the conversation, but he politely asked me to leave his office.
In the next scene, I dreamed of an event with Mr. Tang and Mr. Liu, which was conducted by car. While walking in the garage, I heard that Mr. Tang's baby was born. So looking into the distance, I saw a baby, and Mr. Tang said he named him Tang Chen.",
"The first scene: going on a trip with XuanXuan to a place (or attending an event - can't remember), I drove around in the parking lot and parked in the space, thinking it went pretty well.
The second scene, lying in bed with Maoxinyi. She asked me if I had ever chased anyone else, and I wanted to say lsh truthfully, but finally didn't. Then we just lay there for a while. Then we just lay there for a while and were called up to set off to a place (I forget).",
"I dreamed of asking my professor for a recommendation letter on the eve of my application. Jay seemed to be very positive, so I thought this letter of recommendation should be well written. Then it seems that I had an exchange with Jamil. I woke up and thought about it, but there was nothing Jay could write for me. I still need to keep working hard.",
"Trying to take a bus in New York, or a strange city, finding an open-air bus, going to the upper level, the sky raining, sitting for a short time, crossing a viaduct to my destination, only to have the conductor say it was $13. I thought I didn't have any money so I asked her if she had a venmo, and she reluctantly pulled out her cell phone. That's when he saw a large wad of bills in the compartment of my wallet, which I had stuffed in there in one go earlier, only I had forgotten about it. So he paid with that money.
The destination was a restaurant. I went in and felt quite fancy, did not sit down to eat and left.
The next scene came to Portland, went to the hotel check in, the first night is not bad, but the second night was told to change the room, the room number is 128, looking around but also did not find. It turns out that the hotel management chaos, room number all be reassigned. When I opened the door to the room, I found that there was only one bed inside, which was also very dilapidated. I don't know when I broke my right index finger, but I didn't feel much pain, so I put it on myself and kept it still, waiting for the wound to heal. Although the movement was a bit limited at first, it slowly returned to normal. I felt relieved. After that, my friends and I came to a room (and one of the girls some ambiguity), I gave them popular psychological knowledge, about rational and emotional [the night before and lhy watched the wandering earth, and he discussed the problem], with the help of Kahneman's dual processing theory explained a little.
The next scene came to scan lab. Jamil and Matt came here for a visit at some point, and Matt and I collaborated on a project. I can't remember the details.",
"I had a dream within a dream: I dreamt that I dreamt that I got a huge check and a package from a person, a total of more than one million one hundred thousand to give to Hongzizhe, so I came to a gym [I have had several dreams about gyms before, one was playing table tennis in a place like the NPC Century Hall in Beijing; a couple of other times was playing basketball; a couple of other times was in a gym with anaerobic training. One was in the basement, connected to Washington Square Park, one was in a glass house; another was in a very fancy circular hall, climbing the steps to the upper floor was the training area, I experienced a yoga class] I saw Hongzizhe next to a bench press machine, and was about to wrap it for him when I woke up from the second level dream. So I started to record this part (in the first level dream).
The gym scene reminded me of a previous dream where I was in a mall like CapitaMall, with three floors in total. I took the elevator to the upper floor and found many people lined up to buy food. Climbing from the ladder to the roof, I found the area around the mall very empty. After a while, it seemed that an enemy started to chase us, so we rushed to hide in the house] I can't remember the exact details.
After that, something happened, I can not remember, I came to a circular device, it seems to need to find the mouth from the middle to climb up, so a few simple operations to find a mouth that just allows my body to pass through [similar confined spaces and passages have been dreamed of several times, such as the basement a passage leading to the treasure chest]. The next scene was in 1802, I turned out a pair of sneakers from the cupboard, thinking it was the once lost one bought in the UK Crow's assassin, and then took a look at the sole is not carbon fiber, so it is not, so some disappointment. Then I saw a lot of clothes and shoes, some were worn as a child, some were prizes won by participating in a Columbia University competition, with the name of Columbia University printed on them [the previous day in the lab to organize the varsity team's information, everyone had a Columbia University shirt on them]. ",
"I dreamed that I talked to Kevin, and he asked about whether there was any confirmation about Monday's subject, and I found out that there was none yet, and I was a little anxious that it would be too late to cancel [in reality, a subject's slot should be cancelled the next morning]. After that, I dreamed that I was back in elementary/junior high school, playing on the basketball court of Cuivi Elementary School [this scene was also seen in my dream several times]. After that, someone brought barbecue meat, and we all ate together. [About playing ball: A few times I was in a place similar to NPC or NPC Central School, with a few street courts, playing ball with others, and then walking home together through Renmin University. In the dream, Renmin University and the surrounding environment seemed to be mixed with the Cuiwei Road (Yuyuantan South Road) side. There was another time when I was near the NPC Central School, and I went to buy food outside the school after playing, and crossed what looked like Haidian South Road and waited for a car by the roadside].
When it comes to stadiums and gymnasiums, I remember once dreaming of going to a Real Madrid (or other team) soccer game and climbing for a long time to get to the top of the stadium. Dad a go, in the middle of several times lost, can not find a seat].",
"I dreamed that in 1802, I found an injured white pigeon with my mother, as if it had been bitten by a cat. Thought it was dead, but found it was still alive and tried to find if there was still a pet store open, however it was already 10pm. I was very anxious. Then the pigeon's condition gradually improved, I fed it food, and it ended up biting my right hand with its mouth, which hurt, so I used the food in my left hand to attract it to let go of my right hand [the night before I watched a video on attracting kittens and puppies with food].",
"I have a smart bracelet that allows for instant movement. It is used when a hologram is presented, projected in front of me, and I step inside to move to another place. This day I went to the gym, did a few bench presses, and then tried to rush back to a place or something, but the instantaneous movement was broken. So I had to use my smart bracelet to call uber. after I called it, I ran all the way to the car and another friend had been waiting inside for a while. The scene of this story is in New York, yet the streets and neighborhoods I crossed while running from the gym to the uber were very much like my hometown Tangshan, or the town that appeared in my previous dreams.
Back home / or hotel, Mr. Tang and I and others decided to go swimming, so we started to stuff things into the north bag, however there were a lot of things, thinking that it must be heavy to carry [had many dreams of organizing things, one of them was in London: before leaving to organize the room, the room layout seemed to be a small bedroom of 909. However, there are too many things, and do not want to throw away, so very anxious]",
"In a conference hall, I was approached by a professor who wanted to talk to me. I went over to Dan Gilbert and talked to him about my understanding of moral psycology (which I had talked to Chelsea Helion about during the scan the day before). However, he didn't seem very impressed and questioned some of my points. Then I left unhappily and went to the ball at the Metropolitan Museum of Art. I looked up at the huge SAT-like hall with beautiful baroque decorations on the dome and thought to myself that this building was only four stories high, but it was actually like ten stories of a typical house. Then the ball started and I didn't have a ticket so I went back home to 1802. Xuan Xuan and Mr. Tang were also there, and they both had tickets. This is when everyone started to change into formal wear, while I was eating on the side and not planning to go. Then XuanXuan's grandma/grandmother came knocking on the door and asked if I wanted to join them, I pushed back a bit but ended up arriving with them. Since I didn't have a ticket, I didn't have a lunch voucher, so I had to watch them both eat.",
"He Yuesen held a rdfz class reunion to celebrate Liu Yige's birthday (I thought to myself, He Yuesen still knows her.) Harry and others were there, and they asked me if I wanted to join them, and I thought about it and said yes. Then we went to a movie theater and started to show the movie (I can't remember the plot). I dreamed of many similar theater scenes: once in a lecture hall modeled after the NPCA classroom, with so many people that I seemed to have forgotten to turn in my homework; once in a movie theater (the scene was like the junction of Broadway and Lafayette), where I arrived late and sat down in a seat on the side with not many people inside; and once in a very large theater I found a seat in the middle and back of the theater and later came out of the theater and drove/taxied somewhere under the shroud of night, with abandoned houses and poles lining the road, like a small town on an American highway].
Another scene was on a beach, and from the far sky a meteorite (or maybe it was a plane) fell and the sea went up in flames.
I was sitting in the back seat of a car with a kid about 12 or 13 years old, and he showed me a website that he often goes to, which has some pornographic content on it, and I felt a little embarrassed.
The last scene was in the bedroom of 1802, and I told Chelsea Helion some of my thoughts about psychology, but she didn't seem to agree.",
"Went to see a movie starring an older man with a name like an nba star, the movie was about him being unappreciated to taking his school's hockey team to the championship. Later the uncle came to reality, after getting to know him and found out he was the bad guy, raised his gun and forced us to jump from a manhole cover on a bridge and left our belongings. However, it was later discovered that he was actually protecting us - because there was a group of people chasing us, he left our things so the group stopped chasing.
Another scene was skiing, but I can't remember the details.
There was also a scene at the beach that I had dreamed about before. The location was Hainan, and it was only a two-minute walk from the family's house to the public beach. I asked my mother if the house on the hillside not far away was more expensive because the location was better, and she said yes.",
"I had a dream about going to Portland for spsp [in reality, I had just been there a few weeks ago] and I suddenly found myself presenting my undergrad thesis work a few hours ago, and I was very anxious because I hadn't started the PowerPoint yet. At this point, I saw that Annie was going to present her work, and I was very excited because it was very relevant to my research. However, after she started, I realized that Jon Freeman was not among the mentors she listed above, and her work was not the research I thought it was (although, her page of slides inspired me to take a macro perspective on the issues related to prejudice). After her talk, I was happy to go up and say hello, only to find out that she didn't know me. It turned out that she was Annie DePiere and not Annie Hill.
After that, I interacted with Molly and Kevin, but I don't remember the details.
When I finally came out of the venue, I ran in the light rain in Portland, thinking I really liked the city, but I ran and ran to the canal street [some scenes like the broadway and soho that had appeared in my previous dreams].
Finally, I also dreamed that I came to the second floor of a small loft with some handicrafts inside. Wang Mingxiao and I wanted to buy a lottery ticket (? (I can't remember), then I spoke some Spanish, Wang Mingxiao expressed contempt, said I do not know Spanish at all.",
"Had a very long and complicated dream, most of the details can not remember. The last scene was that I needed to rescue a base from a fire caused by a chemical spill - the base was responsible for researching high-tech equipment, and the scope of the fire made the toxic material leak. I got in the helicopter and flew to the fire area at full speed with a few other people. The navigation showed that it would take five minutes to fly, and I thought that I might not be able to make it. When I got to the top of the burning area, I turned on the sprinkler function of the helicopter and started to put out the fire, which went relatively well.",
"After waking up at 8:10, I ignored the alarm clock and went back to sleep, and this time had a dream about going back to middle school. I dreamed I arrived at the entrance of the middle school in a car [the scene actually looked like the streets of a third-tier city, and there were a couple of dreams with similar scenes: once riding a bike in a place that looked like the park next to 1802 (which the dream seemed to think was Hangzhou), and once walking next to the Kunyu River all the way to the inside of the Summer Palace, passing many small dams and waterfalls midway; and a toxic pool]. I changed into Guo Zimu's leggings and shoes [in reality, I saw her post a fitness friend circle the day before] and thought, this shoe is much better than my own, and my legs seem to have become as fit as hers, thinking I really need to get back to working out. When I entered the class, my usual seat was occupied, looked behind me, and I didn't want to make it to the last few rows, so I made it to Yuan Yutao [my deskmate in junior high school] and talked to her a few times. Then Zhu Manling (class president) [elementary school classmates, but I did not realize that this kind of wear the plot] came to the podium and began to organize discipline, I saw a lot of people beside me, on the one hand, very warm, nostalgic for the time of middle school, on the other hand, think about their own months did not cut the hair [in reality has not cut five months], feel a little embarrassed, their image can be better. Then I woke up and saw that it was too late to get up again, so I got up.",
"First scenario: At the mbbi scan, the time was about ten in the morning and I was supposed to meet the subject. However, I was forty-five minutes late because I was doing something (can't remember), and by the time I got out the door, I ran into Sydney Krueger-seeing her about to explode, I told myself it was a dream, and came to the previous level of the dream: I was still getting ready for the scan, but this time I counted the time and got the subject without any problems. After that I had to take the bus from Downtown to Columbia University. However, I didn't get off the bus at 116th street, but remembered that I wasn't going to mbbi, so I tried to get the driver to let me off the bus in the middle of the ride, only to find that the driver had fallen asleep (I was sitting on the driver's right), and seeing that the bus was about to crash into the guardrail, I hurriedly helped the driver hit the wheel. The driver also came to his senses immediately. He opened the door and let me out, but the people on the bus seemed very upset, cursing and urging me to get off. One of them was a direct subway ride from the JFK airport, passing an open-air station in the middle, but it was much larger than the 125 connection, like a customs office. Further on went through a very scenic forest, with a lake on the right hand side, and mountains like Patagonia in the distance].
The next scene was at home, I told the Sony staff that I had just started working at Sony in order to get a discount (although it was all made up), then he asked me for personal information and I gave him my cell phone number. After a while he came knocking on my door and seemed to want to gather further information. I hurriedly hid in the toilet, not daring to make a sound. After he left I went downstairs and saw a strange city with some glass buildings of about ten stories across the street, including Sony's headquarters. I got home and started to shower and saw some blood in my underwear, and when I found out that my jb was broken, I panicked and woke up from my dream.",
"The first scenario was in Beijing and decided to take a tennis lesson from Coach Sun. However, the location was a suburban golf base with good greenery but too far away. It would take nearly two hours to get there by public transportation. I thought my parents could drive me there and it would only take about 40 minutes. When I got there, I found Coach Sun playing with a female student and said she was very talented, just like Zhang Yi many years ago. I was happy in my heart, but felt some regret because I did not stick to the practice.
I woke up and fell asleep again and entered the second scene in a room with a man have sex. at first from behind, then switched to oral. it seemed to be going on in correspondence to what was in the video. My jb got a lot bigger, but I didn't feel very aroused.",
"We participated in Sound of Silence with our friends (Mr. Tang, Professor Lu, XuanXuan and others) and sang sound of silence, which was said by the judges to be the best performance among our three songs. Afterwards, we went backstage to have a buffet dinner. Wang Yue was also there, and we talked about some emotion-related topics. She asked me if I had ever fallen in love with my friend's girlfriend, so I laughed and she laughed too.
After that, I took the train from the competition place back to my home in upper west. I was carrying a suitcase, but when I changed trains, I found that I had left my suitcase on the train, and the train I changed on was still the wrong one, and I didn't know where it was going. I was very anxious.
Next scene: I ran into a star and his assistant on a rainy day in Beijing [the day before I just watched the Chinatown Detective starring Liu Haoran, and the star looked like he missed him] I asked them if they were going in the direction of rdfz, and if they could take me home, and they agreed. I sat on the passenger side, the road my phone kept ringing, can not be turned off, at first thought it was my stereo, but it turned out to be the phone. It turned out to be the alarm clock that went off.",
"I dreamed of attending a very large party. In it we played a series of games, many of which were quite dangerous (I forget the details). Halfway through I was bullied by a big brother from another group, like I was helping him deliver something but he ended up taking all my money and beating me up. I was very angry and frustrated. The next scene was getting to the hotel bed with young Martha Nussbaum next to me. I told her I especially liked the upheavals of thought you wrote, and she was happy to hear it.",
"Had a dream that spanned a long and rich period of time. But now most of the details can't be remembered. The first scene was posting flyers (muri) at Columbia University. In order to recruit varsity team people, I posted a lot of them in their locker room, but the next day, they told me they all threw them away because they were already wet from their shower water.
The last scene was sitting in a row of chairs with Billy Brady sitting to my left of left, I told him in great detail about my future academic plans and he was very agreeable to Daniel's suggestion of learning more technical skills.
Then I woke up satisfied that it was already 12:00.",
"Everyone at home had a plastic clear bottle with cookies in it, and a diary for each person. I checked these bottles with Yanshu, Tang and others, and I remembered that I seemed to have written something very personal inside my bottle, so I hastily said that you should not look at it, and Yanshu said that I was not looking at yours. After that we performed the crazy comings and goings of the Thousand Hands Goddess, but Xuan Xuan wasn't able to guess.
The next scene was me on the plane, going to Hainan with my mom. I said it was quite a bit quieter than the train instead, because no one was talking to the passengers. Mom said yes, and it was also a lot more comfortable. I thought to myself that the plane would take about four hours to do.
Then I realized that spring break was only a few days away and I hadn't planned ahead, and I had said I was going to Romania, Lisbon, etc. I had gotten a visa but hadn't booked a hotel yet. I got up from my apartment bed in Parc 77 (where I slept in reality) and thought it would be a big deal to stay in a hostel (despite my previous unpleasant experience in Vienna).
The last scene in the yale psych dept, I went through one slightly dim corridor, saw the room where Molly was in the lab, the door was labeled with the names of the members inside, billy, and a postdoc I didn't know, Michael Inzlicht (I don't know why he was there), and at the bottom was Zhang Yi.",
"I dreamt that Liane Young was giving a class to everyone (the location was probably the NPC High School building / or the Primary 1 school building). Then I was four minutes late because I went downstairs for breakfast (it was one of those elementary school cauldrons where everyone weighs a big spoonful), and luckily Gongyanhui and the others got into the classroom in front of me and made a lot of noise. So Liane Young was very angry and cursed at them, this is I took advantage of the chaos will enter the classroom, Liane Young saw, but also just a mild criticism warned me. Later Mengqi, Sunjiaqi and others also into the classroom, Liane again began to publish, the results and a few students wrestled, very hard good Sunyuchen a slap, she should fall to the ground, I quickly shouted don't fight, and to be when the two sides open [this paragraph should be from two weeks ago to see the beginning of the female teacher hit classmates video; but I don't know why is Liane Young].",
"Went on a bus with a group of classmates for an activity. One of them was swimming in a small pool. [Dreams about swimming pools: one was in a place that looked like a school swimming pool, very dim, with only a few people; another was a giant hotel open-air pool, divided into several levels, with a restaurant overseeing everything next to it] [Dreams about buses and classmates' activities: one was going to an orienteering with my middle school classmates, and the bus was parked in the parking lot, but I stayed on the bus The sunlight outside the car is very harsh, the interior of the car are illuminated into a golden yellow; another time is in a snowy day to go to a winter camp by car. The car went all the way to the top of a very high mountain, stopping at a few hotels halfway up the mountain, and I kind of didn't want to leave my parents] The next morning Lily texted me to confess her love. I had just woken up from a nap and my eyes weren't quite open, but then realized it was a dream but didn't immediately wake up to the next scene.
Planning a spring break trip, originally planned to go to a few countries far away, and then decided to go to Portugal and Spain last time did not visit a few cities (Mallorca Saragossa, etc.), and then ready to book tickets [the day before playing google maps just search to a small island in Portugal]
The last scene seems to be the end of the activity in the last scene, I talked with Cendri Hutcherson, said I really liked her two papers in 2011 and 2015, she was very happy to hear that, later I came out with a female classmate, ran into Pengjiyuan. The two of us walked together, and he said my breath was not fresh. I was a little embarrassed.",
"I came to Hokkaido to travel with my parents, and when I got off the plane and dropped off my things at the hotel, I went around the streets and saw a ramen store with enough ramen for two people for only ten dollars, and I sighed that it was very cheap. At the same time, I thought about my trip to Hokkaido and felt that my trip was not as exciting as it could have been.
When I returned to the hotel, I found out that my father's finger was injured and needed to be amputated, so I was very anxious.",
"I dreamt that I went to see Avengers 4 with Harry Xuan Xuan and others. we arrived at the theater early, I went to the bathroom downstairs, and then I couldn't find Harry, so I called him and he said he was upstairs. I went up the revolving staircase and saw him playing with his phone by a row of chairs, and I waved.",
"A few people from the lab and I came to the square where the Schermerhorn was located and found an enemy army attacking ahead of us, we hid behind a building and tried to find a moment to run into the basement (bomb shelter?) where the lab was located. .
The next scene was to a slightly dilapidated hot pot restaurant, we ate up dinner.
Interspersed with scenes of playing basketball in Cui Xiao, I tried to spot the ball unsuccessfully, then it was a dribble over behind the figure, which was also snapped up.",
"At first it seemed to be for a large group event, I can't remember the details. Sky(?) and I We had to take a train to another city, but we ended up getting on the train at the first two times, and the third time we were late because we spent a lot of time waiting for the elevator. The third time we were late because we had to wait for the elevator. We simply went to the hudson river side. In the meantime, we found out that the tickets could be rescheduled for another time.
The next scene was driving from home to NYU, and I found Xuzheyu's car next to the weinstein, and I was curious to open the door, when he sent me a text asking if I wanted to test drive it for $5 a time. I thought to myself, ""I have to charge for this, so I asked him if I could do it for free - I was just going to union sq there, very close.",
"I dreamed that I was driving with a friend because I suddenly tried to control the steering wheel with my foot for some reason, causing the car to not turn at the intersection and run into the reverse lane, I hurriedly slowed down and ended up stopping in the middle without hitting another car. I turned the car around to the left side of the intersection and stopped at the side of the road, very afraid that someone would call the police and the police would check us out. As a result, not long after seeing a police officer walking towards the direction we just went against the traffic and looking over and making a phone call, I was afraid he was coming for us. However, he just seemed to be passing by, so I was relieved.
The next scene was in New York, where I went to an event and Gaoteng and others were there. I went to his house to look for him and found him in a 2b1b in upper east, sunny and not too expensive, only 2,000 out of pocket. In reality, I heard Gaoyixuan say the night before that he came to New York to see the school and happened to live near upper east. And in reality Gaoteng also works in upper east.",
"I dreamed that Sydney Krueger was back and we went for a scan, then on the way back I saw her in a bit of a trance. I thought about the pain she had been going through recently and tried to comfort her and she said it was okay, leaving a line of tears in the corner of her eyes at the same time. I cried too (in reality and in the dream).
The next scene was about to take a flight to an academic conference, and I ran into David Rand at the airport (a very modest room), I was a little excited and went up to talk to him and found out that he spoke Chinese. I thought he was at mit business school, so I asked him if he knew Guanan Lu. He said yes. I asked him if their research was similar - surprisingly, he said it was not the same at all, and I tried to add that they both studied morality [in reality, our department was going to talk about it next week in DR, but it was temporarily cancelled]. I remember two of them seemed to be arguing over the timing of the flight, but I can't remember the details.",
"I dreamed that I was back in my high school classroom, and I was preparing to go abroad, and I had fallen behind in my schoolwork. The teacher (biology or chemistry) asked the students to write a concept on the blackboard, and I was standing on the far left side of the board, trying to write a concept but couldn't think of what the word was. I was a little embarrassed. The main scene is the rdfz high school building, or the building of the Cui Xiao No.1 branch].",
"Dreamed about yesterday's scene in reality - asking Kevin to sign the opt document in the lab. Unlike in reality, after Kevin signed one copy, I found out there was another copy, so I asked him to sign it again. After signing, I found another copy. Kevin looked a little impatient and his signature was very different from the previous style.",
